               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11855,            0.016717,            0.025468,          0.00078904,             0.18644,           0.0011867,          0.00027048,             0.10563,            0.014109,              0.0216,           0.0033153,           0.0033153,            0.070162
                   1,            0.094673,            0.017668,            0.010787,             0.64099,             0.09322,            0.083613,            0.027045,            0.093968,             0.01287,            0.014638,           0.0066048,           0.0066048,            0.040118
                   2,            0.086349,            0.017056,           0.0087464,             0.64607,             0.25424,               0.129,            0.042278,            0.082792,            0.013003,            0.014912,           0.0098502,           0.0098502,             0.01003
                   3,             0.07909,            0.016383,           0.0083717,             0.63248,             0.13559,            0.086607,             0.02913,            0.084899,            0.011808,            0.014652,            0.009802,            0.009802,            0.009802
                   4,            0.075084,            0.017134,           0.0080753,             0.71141,             0.22971,              0.2375,            0.057903,            0.068899,            0.011707,            0.013794,            0.009802,            0.009802,            0.009802
                   5,             0.06647,             0.01674,           0.0062701,             0.78003,             0.31356,             0.29918,             0.11235,            0.064452,            0.011996,            0.013069,            0.009736,            0.009736,            0.009736
                   6,            0.064455,            0.015713,           0.0068957,             0.82033,             0.33898,             0.33439,             0.10161,            0.061966,            0.011174,            0.011553,             0.00967,             0.00967,             0.00967
                   7,            0.062595,            0.015441,           0.0065124,             0.81577,             0.31959,             0.31621,             0.11526,            0.059806,            0.010651,            0.012148,            0.009604,            0.009604,            0.009604
                   8,            0.058871,             0.01484,           0.0052951,             0.77536,             0.35322,             0.31771,             0.12484,            0.058138,            0.010951,            0.012605,            0.009538,            0.009538,            0.009538
                   9,            0.058425,            0.014803,           0.0056852,             0.81398,             0.36441,             0.34875,             0.14854,            0.058293,            0.010209,            0.011282,            0.009472,            0.009472,            0.009472
                  10,            0.059036,            0.014391,           0.0060802,             0.85195,             0.30508,             0.35786,             0.12529,            0.061178,            0.010662,            0.011533,            0.009406,            0.009406,            0.009406
                  11,            0.055971,            0.014242,           0.0046393,             0.47505,             0.36798,             0.35386,             0.14087,            0.057114,            0.010843,            0.011566,             0.00934,             0.00934,             0.00934
                  12,             0.05588,            0.014068,            0.004562,             0.84733,             0.31356,             0.36212,             0.15805,            0.059693,            0.010353,            0.010917,            0.009274,            0.009274,            0.009274
                  13,            0.055822,            0.014184,           0.0046763,             0.42639,               0.374,             0.36636,             0.12846,            0.058744,            0.010366,            0.011913,            0.009208,            0.009208,            0.009208
                  14,             0.05624,            0.014045,            0.004135,             0.29902,             0.33051,             0.35157,             0.12827,            0.058949,            0.010191,            0.011612,            0.009142,            0.009142,            0.009142
                  15,             0.05607,            0.013746,           0.0039837,             0.84892,             0.35593,             0.43605,             0.17624,            0.055052,            0.010586,            0.012474,            0.009076,            0.009076,            0.009076
                  16,            0.054502,             0.01294,           0.0034693,             0.48477,             0.38407,             0.32785,             0.10751,            0.060128,            0.010466,            0.012828,             0.00901,             0.00901,             0.00901
                  17,            0.053389,            0.013453,           0.0037399,             0.50899,             0.42842,             0.41678,             0.17011,            0.055724,            0.010098,            0.011011,            0.008944,            0.008944,            0.008944
                  18,            0.054727,            0.014198,           0.0036437,             0.85807,             0.32203,             0.39185,             0.16779,            0.057906,            0.010216,            0.010643,            0.008878,            0.008878,            0.008878
                  19,            0.050318,            0.013391,           0.0033934,             0.86147,             0.33898,             0.41013,             0.17994,            0.053066,            0.010112,            0.011215,            0.008812,            0.008812,            0.008812
                  20,            0.050062,            0.013133,           0.0031731,             0.38984,             0.42275,             0.38755,             0.17473,            0.053538,            0.010135,            0.012658,            0.008746,            0.008746,            0.008746
                  21,            0.050307,             0.01373,           0.0028406,              0.4701,             0.35348,             0.41981,             0.19639,            0.053212,           0.0098562,            0.012687,             0.00868,             0.00868,             0.00868
                  22,            0.050151,            0.013553,           0.0033796,             0.34165,             0.36704,             0.39687,             0.19873,            0.052486,             0.01049,            0.013234,            0.008614,            0.008614,            0.008614
                  23,             0.05167,             0.01286,            0.003315,             0.33011,             0.36441,             0.38949,             0.17159,            0.053306,            0.010591,            0.011028,            0.008548,            0.008548,            0.008548
                  24,            0.049589,            0.013118,           0.0036441,             0.57942,             0.41035,             0.38391,             0.16686,            0.054303,            0.010504,            0.012118,            0.008482,            0.008482,            0.008482
                  25,            0.049474,            0.012917,           0.0028597,               0.516,             0.43339,             0.40148,             0.18225,            0.053894,            0.010212,            0.010962,            0.008416,            0.008416,            0.008416
                  26,            0.049165,            0.012871,           0.0028016,             0.44172,             0.38511,             0.37477,             0.17825,             0.05608,            0.010003,            0.012336,             0.00835,             0.00835,             0.00835
                  27,            0.048515,            0.013488,           0.0024781,             0.51432,              0.3924,             0.39347,             0.18209,            0.052289,           0.0099134,            0.012534,            0.008284,            0.008284,            0.008284
                  28,            0.047315,            0.013099,           0.0034245,             0.47195,             0.40545,             0.38066,             0.15859,            0.054033,            0.011203,            0.010747,            0.008218,            0.008218,            0.008218
                  29,            0.049452,            0.012821,           0.0026958,             0.49256,             0.45742,             0.40465,             0.17504,             0.05286,           0.0096184,             0.01142,            0.008152,            0.008152,            0.008152
                  30,            0.048048,            0.013418,            0.002565,             0.42271,             0.45074,             0.39916,              0.1707,            0.054453,            0.010001,            0.013852,            0.008086,            0.008086,            0.008086
                  31,            0.048696,            0.013131,            0.002369,             0.36555,             0.47682,              0.3938,              0.1722,            0.054103,            0.010044,            0.012543,             0.00802,             0.00802,             0.00802
                  32,            0.047883,            0.012367,           0.0025223,             0.45935,             0.37891,             0.39965,             0.17556,            0.054315,             0.01011,            0.011747,            0.007954,            0.007954,            0.007954
                  33,            0.048159,            0.012795,           0.0022171,             0.49941,             0.40903,             0.39314,             0.17991,            0.054238,            0.010209,            0.012508,            0.007888,            0.007888,            0.007888
                  34,            0.046887,            0.012754,           0.0019903,              0.4733,             0.41995,             0.40567,             0.17714,            0.054336,            0.010078,            0.012001,            0.007822,            0.007822,            0.007822
                  35,            0.045868,            0.012294,           0.0020456,             0.54122,             0.45028,              0.4306,             0.21692,            0.051562,            0.010072,             0.01125,            0.007756,            0.007756,            0.007756
                  36,            0.046446,            0.011688,           0.0021537,              0.5089,             0.41995,              0.3962,             0.19156,            0.053066,             0.01042,            0.011794,             0.00769,             0.00769,             0.00769
                  37,            0.045794,            0.012789,           0.0022125,             0.47522,             0.44047,             0.41254,             0.19126,            0.053235,            0.010301,           0.0099351,            0.007624,            0.007624,            0.007624
                  38,            0.046765,            0.012153,           0.0021196,             0.49347,              0.3934,             0.35335,             0.16314,            0.051917,            0.010711,            0.010613,            0.007558,            0.007558,            0.007558
                  39,            0.045394,            0.012002,           0.0019012,             0.44176,             0.42485,             0.39961,             0.17082,            0.052875,            0.010469,            0.011836,            0.007492,            0.007492,            0.007492
                  40,            0.044403,            0.011899,           0.0015607,             0.44732,             0.43272,             0.41403,             0.18128,            0.054102,            0.010266,           0.0098374,            0.007426,            0.007426,            0.007426
                  41,            0.046063,            0.012249,           0.0018073,             0.50535,             0.41271,             0.41368,             0.19119,            0.052159,            0.010528,            0.010643,             0.00736,             0.00736,             0.00736
                  42,            0.044227,            0.011718,            0.001776,             0.55219,             0.36165,             0.40853,             0.18622,            0.053357,            0.010745,           0.0099879,            0.007294,            0.007294,            0.007294
                  43,            0.042831,            0.011728,           0.0016344,             0.55391,              0.3981,             0.41731,             0.19808,            0.053656,            0.010207,           0.0097996,            0.007228,            0.007228,            0.007228
                  44,            0.045239,            0.011846,           0.0014775,             0.46153,             0.47398,             0.39307,             0.19432,            0.052579,            0.010453,            0.010132,            0.007162,            0.007162,            0.007162
                  45,            0.044659,            0.011675,            0.002238,             0.41089,             0.44405,             0.39783,             0.18845,            0.053018,            0.010659,           0.0096162,            0.007096,            0.007096,            0.007096
                  46,            0.043304,            0.011255,           0.0014788,             0.54318,              0.4465,             0.39626,              0.1672,            0.053447,            0.010566,              0.0105,             0.00703,             0.00703,             0.00703
                  47,            0.044418,            0.011902,            0.001621,             0.49707,             0.44895,              0.4378,             0.20226,            0.053407,            0.010146,           0.0094644,            0.006964,            0.006964,            0.006964
                  48,            0.042046,            0.011768,           0.0014672,             0.45711,             0.46132,             0.41889,             0.18392,            0.054849,            0.010339,            0.011232,            0.006898,            0.006898,            0.006898
                  49,            0.041884,            0.011587,           0.0016266,             0.49497,             0.45385,               0.398,             0.18132,            0.052159,             0.01039,            0.011318,            0.006832,            0.006832,            0.006832
                  50,            0.041985,            0.011383,           0.0014317,             0.56274,             0.39698,             0.40105,              0.1859,            0.051386,            0.010843,            0.011585,            0.006766,            0.006766,            0.006766
                  51,            0.041312,            0.011297,           0.0012963,             0.62934,             0.39943,             0.40246,             0.18566,             0.05212,            0.010219,            0.011478,              0.0067,              0.0067,              0.0067
                  52,            0.041529,            0.011776,            0.001468,             0.50884,             0.44695,              0.4243,             0.18936,            0.054273,            0.010006,            0.011377,            0.006634,            0.006634,            0.006634
                  53,             0.04184,            0.010808,           0.0015649,             0.64336,             0.37997,             0.40748,             0.19807,            0.053542,            0.010294,            0.011295,            0.006568,            0.006568,            0.006568
                  54,            0.041057,            0.011432,           0.0011476,             0.44477,             0.41283,             0.36346,             0.17242,            0.052184,            0.011278,            0.012626,            0.006502,            0.006502,            0.006502
                  55,            0.038652,            0.010858,            0.001119,             0.51156,             0.43898,             0.43119,             0.21346,             0.05071,            0.010569,            0.011736,            0.006436,            0.006436,            0.006436
                  56,            0.042847,            0.011309,           0.0013928,             0.47134,             0.42843,             0.36934,             0.16443,            0.053756,            0.010935,            0.012188,             0.00637,             0.00637,             0.00637
                  57,             0.03999,             0.01064,             0.00123,             0.44412,             0.44537,             0.40245,             0.17236,            0.053809,            0.010364,            0.011542,            0.006304,            0.006304,            0.006304
                  58,            0.040066,            0.010281,            0.001106,             0.43774,             0.39386,             0.38832,             0.17766,            0.052425,            0.010918,            0.010763,            0.006238,            0.006238,            0.006238
                  59,            0.038431,            0.010191,          0.00095578,             0.44114,             0.43802,             0.40459,             0.18493,             0.05367,            0.010457,            0.010982,            0.006172,            0.006172,            0.006172
                  60,            0.040241,            0.010725,           0.0011947,             0.61399,              0.4019,             0.39839,             0.17992,            0.054552,            0.011169,            0.011957,            0.006106,            0.006106,            0.006106
                  61,             0.03947,            0.010546,           0.0013456,             0.40555,             0.42835,             0.36936,             0.17934,            0.054538,            0.011271,             0.01196,             0.00604,             0.00604,             0.00604
                  62,            0.038479,            0.010839,           0.0010567,             0.52372,             0.41505,             0.41648,             0.18836,            0.054332,            0.010722,            0.011603,            0.005974,            0.005974,            0.005974
                  63,            0.038859,            0.010562,           0.0010024,             0.56177,             0.37822,             0.37956,             0.20423,             0.05182,            0.011466,            0.010797,            0.005908,            0.005908,            0.005908
                  64,            0.037215,            0.010479,           0.0010159,             0.46922,             0.42955,             0.38663,             0.18324,            0.052516,            0.011074,            0.010764,            0.005842,            0.005842,            0.005842
                  65,            0.039563,            0.010012,          0.00085869,             0.39414,             0.41101,              0.3402,             0.16645,            0.053685,            0.011435,            0.013106,            0.005776,            0.005776,            0.005776
                  66,             0.03895,           0.0094977,          0.00095773,             0.46983,             0.44047,             0.40024,             0.19906,            0.053537,            0.010979,            0.011705,             0.00571,             0.00571,             0.00571
                  67,             0.03802,            0.010006,           0.0011562,             0.45011,             0.40903,             0.36677,             0.16834,            0.054002,            0.011234,            0.011692,            0.005644,            0.005644,            0.005644
                  68,            0.037225,            0.009971,            0.001228,             0.49803,             0.42038,             0.39226,             0.19898,            0.051698,            0.011107,             0.01158,            0.005578,            0.005578,            0.005578
                  69,            0.036293,           0.0099847,          0.00093302,             0.37966,              0.4465,              0.3883,             0.19291,            0.052441,            0.011152,            0.011162,            0.005512,            0.005512,            0.005512
                  70,             0.03732,            0.009673,           0.0013332,             0.50603,             0.39241,             0.40132,             0.20004,            0.051173,            0.011285,            0.011816,            0.005446,            0.005446,            0.005446
                  71,            0.036856,            0.009916,          0.00090586,             0.57648,             0.34858,             0.37943,             0.18059,            0.054004,            0.012285,            0.010691,             0.00538,             0.00538,             0.00538
                  72,            0.035979,            0.010097,          0.00074135,             0.46542,             0.40737,             0.38491,             0.18493,            0.053337,            0.011604,            0.012021,            0.005314,            0.005314,            0.005314
                  73,            0.035907,           0.0094917,            0.001058,             0.46133,             0.41893,             0.39795,             0.19829,            0.052459,            0.011432,            0.011503,            0.005248,            0.005248,            0.005248
                  74,            0.036991,            0.010193,          0.00086362,             0.42206,              0.3582,             0.31713,             0.16276,            0.052235,             0.01247,             0.01085,            0.005182,            0.005182,            0.005182
                  75,             0.03571,           0.0098597,          0.00077158,             0.41477,             0.42598,             0.37728,             0.17474,            0.054235,            0.010973,            0.012271,            0.005116,            0.005116,            0.005116
                  76,             0.03576,           0.0091941,          0.00084894,             0.44597,              0.4369,             0.41806,             0.20446,            0.052097,             0.01082,            0.011086,             0.00505,             0.00505,             0.00505
                  77,            0.035934,           0.0095932,          0.00077158,              0.4609,             0.47912,             0.42631,             0.20137,            0.053209,            0.011042,             0.01188,            0.004984,            0.004984,            0.004984
                  78,             0.03538,           0.0097511,          0.00090523,             0.47845,             0.45855,             0.39393,             0.18372,            0.054554,            0.011723,            0.010889,            0.004918,            0.004918,            0.004918
                  79,            0.034411,           0.0091918,           0.0007414,             0.53696,              0.4077,             0.40087,              0.1837,            0.054108,            0.011935,            0.010305,            0.004852,            0.004852,            0.004852
                  80,            0.035138,           0.0095243,          0.00080081,             0.48434,             0.39848,             0.37661,             0.19181,            0.053731,            0.011881,           0.0097013,            0.004786,            0.004786,            0.004786
                  81,            0.034232,           0.0091518,          0.00089578,             0.63966,             0.33766,             0.40877,             0.18096,            0.053919,            0.011664,            0.010646,             0.00472,             0.00472,             0.00472
                  82,             0.03382,           0.0093035,          0.00097268,             0.51162,             0.41862,             0.39455,             0.17949,            0.053273,            0.011869,             0.01094,            0.004654,            0.004654,            0.004654
